Name,Gender,Date,Time,Location,Pace,HR,Elevation,Temp,Humidity,DP,HI,DewFeel,RealFeel,Wind,Gust,Pressure
Matt,M,07/08/2018,09:05,"Waverly, England",399,141,-41,74,56,57,74,Comfortable,Okay,2,0,1001
Matt,M,07/08/2018,09:05,"Waverly, England",406,145,-30,74,56,57,74,Comfortable,Okay,2,0,1001
Matt,M,07/08/2018,10:10,"Waverly, England",456,146,56,79,47,57,79,Comfortable,Okay,5,0,1001
Matt,M,07/08/2018,10:10,"Waverly, England",430,140,-66,79,47,57,79,Comfortable,Okay,5,0,1001
Matt,M,07/08/2018,16:05,"Waverly, England",436,134,-100,79,51,60,79,Comfortable,Okay,8,0,999
Matt,M,07/08/2018,16:05,"Waverly, England",424,139,80,79,51,60,79,Comfortable,Okay,8,0,999
Matt,M,07/08/2018,16:05,"Waverly, England",405,145,-3,79,51,60,79,Comfortable,Okay,8,0,999
Matt,M,08/08/2018,09:25,"Waverly, England",402,143,16,63,64,51,62,Pleasant,Okay,9,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",393,145,-52,63,64,51,62,Pleasant,Okay,9,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",402,148,49,63,64,51,62,Pleasant,Okay,9,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",386,151,41,63,64,51,62,Pleasant,Okay,9,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",392,157,-73,69,54,52,68,Pleasant,Okay,12,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",390,155,74,69,54,52,68,Pleasant,Okay,12,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",369,155,-52,69,54,52,68,Pleasant,Okay,12,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",366,162,1,69,54,52,68,Pleasant,Okay,12,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",396,164,5,69,54,52,68,Pleasant,Okay,12,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",370,160,-3,69,54,52,68,Pleasant,Okay,12,0,1004
Matt,M,08/08/2018,09:25,"Waverly, England",349,166,-84,69,54,52,68,Pleasant,Okay,12,0,1004
Matt,M,09/08/2018,07:45,"Waverly, England",405,128,-2,59,92,56,59,Comfortable,Okay,2,0,1005
Matt,M,09/08/2018,07:45,"Waverly, England",409,131,-48,59,92,56,59,Comfortable,Okay,2,0,1005
Matt,M,09/08/2018,07:45,"Waverly, England",424,133,48,59,92,56,59,Comfortable,Okay,2,0,1005
Matt,M,09/08/2018,07:45,"Waverly, England",383,138,6,59,92,56,59,Comfortable,Okay,2,0,1005
Matt,M,09/08/2018,07:45,"Waverly, England",417,145,66,59,92,56,59,Comfortable,Okay,2,0,1005
Matt,M,09/08/2018,07:45,"Waverly, England",389,162,55,59,92,56,59,Comfortable,Okay,2,0,1005
Matt,M,09/08/2018,07:45,"Waverly, England",387,163,-43,59,92,56,59,Comfortable,Okay,2,0,1005
Matt,M,10/08/2018,09:45,"Rushmoor, England",398,134,-22,60,74,52,59,Pleasant,Okay,14,0,1010
Matt,M,10/08/2018,10:05,"Rushmoor, England",344,168,-1,60,74,52,59,Pleasant,Okay,14,0,1010
Matt,M,10/08/2018,10:05,"Rushmoor, England",345,174,-10,60,74,52,59,Pleasant,Okay,14,0,1010
Matt,M,10/08/2018,10:05,"Rushmoor, England",341,167,9,60,74,52,59,Pleasant,Okay,14,0,1010
Matt,M,10/08/2018,10:05,"Rushmoor, England",338,166,1,60,74,52,59,Pleasant,Okay,14,0,1010
Matt,M,10/08/2018,10:05,"Rushmoor, England",331,165,5,60,74,52,59,Pleasant,Okay,14,0,1010
Matt,M,10/08/2018,10:05,"Rushmoor, England",320,166,-2,60,74,52,59,Pleasant,Okay,14,0,1010
Matt,M,10/08/2018,10:55,"Rushmoor, England",438,163,31,62,86,58,62,Comfortable,Okay,12,0,1009
Matt,M,11/08/2018,08:50,"Waverley, England",431,128,-94,55,96,54,55,Pleasant,Okay,0,0,1016
Matt,M,11/08/2018,08:50,"Waverley, England",436,128,-65,55,96,54,55,Pleasant,Okay,0,0,1016
Matt,M,11/08/2018,08:50,"Waverley, England",405,130,9,55,96,54,55,Pleasant,Okay,0,0,1016
Matt,M,11/08/2018,08:50,"Waverley, England",426,133,-17,55,96,54,55,Pleasant,Okay,0,0,1016
Matt,M,11/08/2018,08:50,"Waverley, England",401,136,10,55,96,54,55,Pleasant,Okay,0,0,1016
Matt,M,11/08/2018,08:50,"Waverley, England",402,144,90,55,96,54,55,Pleasant,Okay,0,0,1016
Matt,M,12/08/2018,08:40,"Waverley, England",391,160,-43,66,80,59,66,Comfortable,Okay,9,0,1003
